cap dqbuf: 0 seq:      0 bytesused: 41848 ts: 774.362076 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:      1 bytesused: 41841 ts: 775.134097 delta: 772.021 ms field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:      2 bytesused: 41857 ts: 775.186062 delta: 51.965 ms field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:      3 bytesused: 41847 ts: 775.238051 delta: 51.989 ms field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:      4 bytesused: 41838 ts: 775.286070 delta: 48.019 ms fps: 4.33 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:      5 bytesused: 41825 ts: 775.338052 delta: 51.982 ms fps: 5.12 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:      6 bytesused: 41852 ts: 775.386091 delta: 48.039 ms fps: 5.86 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:      7 bytesused: 41835 ts: 775.438064 delta: 51.973 ms fps: 6.51 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:      8 bytesused: 41843 ts: 775.490048 delta: 51.984 ms fps: 7.09 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:      9 bytesused: 41802 ts: 775.538076 delta: 48.028 ms fps: 7.65 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     10 bytesused: 41825 ts: 775.590055 delta: 51.979 ms fps: 8.14 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     11 bytesused: 41819 ts: 775.642038 delta: 51.983 ms fps: 8.59 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     12 bytesused: 41810 ts: 775.690064 delta: 48.026 ms fps: 9.04 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     13 bytesused: 41816 ts: 775.742041 delta: 51.977 ms fps: 9.42 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     14 bytesused: 41808 ts: 775.790078 delta: 48.037 ms fps: 9.80 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     15 bytesused: 41800 ts: 775.842047 delta: 51.969 ms fps: 10.14 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     16 bytesused: 41789 ts: 775.894018 delta: 51.971 ms fps: 10.44 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     17 bytesused: 41788 ts: 775.942056 delta: 48.038 ms fps: 10.76 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     18 bytesused: 41787 ts: 775.994039 delta: 51.983 ms fps: 11.03 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     19 bytesused: 41798 ts: 776.046016 delta: 51.977 ms fps: 11.28 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     20 bytesused: 41788 ts: 776.094050 delta: 48.034 ms fps: 11.55 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     21 bytesused: 41775 ts: 776.146026 delta: 51.976 ms fps: 11.77 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     22 bytesused: 41782 ts: 776.194061 delta: 48.035 ms fps: 12.01 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     23 bytesused: 41780 ts: 776.246044 delta: 51.983 ms fps: 12.21 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     24 bytesused: 41758 ts: 776.298017 delta: 51.973 ms fps: 12.40 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     25 bytesused: 41770 ts: 776.346048 delta: 48.031 ms fps: 12.60 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     26 bytesused: 41768 ts: 776.398038 delta: 51.990 ms fps: 12.77 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     27 bytesused: 41754 ts: 776.450001 delta: 51.963 ms fps: 12.93 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     28 bytesused: 41752 ts: 776.498034 delta: 48.033 ms fps: 13.11 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     29 bytesused: 41756 ts: 776.550018 delta: 51.984 ms fps: 13.25 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     30 bytesused: 41768 ts: 776.598049 delta: 48.031 ms fps: 13.42 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     31 bytesused: 41764 ts: 776.650007 delta: 51.958 ms fps: 13.55 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 0 seq:     32 bytesused: 41762 ts: 776.701997 delta: 51.990 ms fps: 13.68 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 1 seq:     33 bytesused: 41760 ts: 776.750028 delta: 48.031 ms fps: 13.82 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 2 seq:     34 bytesused: 41787 ts: 776.802012 delta: 51.984 ms fps: 13.93 field: None (ts-monotonic, ts-src-soe)
cap dqbuf: 3 seq:     35 bytesused: 41794 ts: 776.853993 delta: 51.981 ms fps: 14.05 field: None (ts-monotonic, ts-src-soe)
